HDPKCN	528312	179815	51.50271	-0.15270
ICKNHM	508089	185933	51.56193	-0.44207
KENGTN	531640	178307	51.48840	-0.10534
KNSLGN	523220	182775	51.53045	-0.22499
KNSGTN	524307	179230	51.49835	-0.21058
KNTSTN	529049	185164	51.55062	-0.14013
KENTON	516767	188312	51.58158	-0.31614
KEWGDN	519201	176738	51.47705	-0.28494
KILBRN	524583	184653	51.54703	-0.20469
KLBNPK	525366	183355	51.53519	-0.19387
KINGSX	530238	182997	51.53087	-0.12379
KNGSBY	519360	188714	51.58465	-0.27860
KTBRG1	527648	179509	51.50011	-0.16237
KTBRG2	527756	179669	51.50153	-0.16076
LDBKGV	524246	181334	51.51727	-0.21072
LMBTHN	531177	179489	51.49913	-0.11157
LCSRGT	526709	180810	51.51202	-0.17543
LATMRD	523807	180951	51.51393	-0.21718
LCTRSQ	529997	180812	51.51129	-0.12807
LEYTON	538385	186070	51.55655	-0.00521
LNTSTN	539294	187409	51.56836	0.00842
LVPLST	533169	181637	51.51797	-0.08208
LNDNBG	532911	180201	51.50512	-0.08633
LGHTON	542320	195618	51.64137	0.05538
MDAVAL	525975	182791	51.52999	-0.18529
MANRHS	532070	187533	51.57121	-0.09570
MNSNHS	532358	180975	51.51221	-0.09401
MRBLCH	527868	181017	51.51362	-0.15866
MRYLBN	527533	182000	51.52253	-0.16313
MILEND	536543	182506	51.52497	-0.03314
MILHLE	524025	191451	51.60824	-0.21033
MNUMNT	532901	180834	51.51081	-0.08624
MOORPK	508626	193457	51.62945	-0.43200
MOORGT	532712	181696	51.51860	-0.08864
MORDEN	525666	168557	51.40213	-0.19480
MGTNCS	529190	183352	51.53430	-0.13876
NEASDN	521401	185385	51.55430	-0.25030
NEWCRS	536717	177140	51.47671	-0.03272
NEWXGT	536206	177017	51.47572	-0.04012
NWBYPK	544922	188385	51.57571	0.08997
NACTON	520836	181970	51.52373	-0.25962
NEALNG	518839	181238	51.51757	-0.28864
NGRWCH	539185	179858	51.50053	0.00387
NHARRW	513541	188613	51.58495	-0.36258
NWMBLY	517701	186169	51.56213	-0.30339
NFELDS	517110	179182	51.49945	-0.31423
NRTHLT	513212	184530	51.54832	-0.36864
NWCKPK	516618	187967	51.57851	-0.31841
NRWOOD	509225	191438	51.61119	-0.42397
NHWDHL	510280	190267	51.60046	-0.40911
NTHLGT	525236	180483	51.50941	-0.19676
OKWOOD	529382	195938	51.64736	-0.13136
OLDSTR	532783	182559	51.52634	-0.08729
OSTRLY	514522	177105	51.48132	-0.35217
OVAL	531132	177575	51.48194	-0.11293
OXCIRC	529059	181196	51.51496	-0.14144
PDGTN1	526696	181259	51.51606	-0.17545
PDGTN2	526698	181182	51.51536	-0.17545
PDGTN3	526497	181494	51.51821	-0.17824
PKRYAL	519129	182294	51.52700	-0.28411
PARSGN	525030	176680	51.47527	-0.20107
PERIVL	516395	183302	51.53663	-0.32317
PICCRC	529573	180629	51.50974	-0.13425
PMLICO	529690	178358	51.48931	-0.13339
PINNER	512278	189441	51.59264	-0.38054
PLASTW	540009	183307	51.53132	0.01710
PRSTRD	518222	187291	51.57210	-0.29550
PUTBRG	524509	175893	51.46832	-0.20885
QENSPK	524621	183212	51.53407	-0.20465
QENSBY	518820	189767	51.59423	-0.28603
QENSWY	525868	180640	51.51068	-0.18760
RVCTPK	522570	178725	51.49419	-0.23577
RYNSLN	512959	187522	51.57526	-0.37133
REDBRG	541839	188368	51.57634	0.04551
RGTSPK	528677	182126	51.52340	-0.14660
RCHMND	518110	175182	51.46330	-0.30117
RKMWTH	505738	194615	51.64041	-0.47335
RODVAL	541602	192901	51.61713	0.04392
RTHRTH	535280	179810	51.50105	-0.05237
ROYLOK	525820	181573	51.51907	-0.18796
RUISLP	509509	187022	51.57144	-0.42125
RSPGDN	510296	185842	51.56069	-0.41027
RSPMNR	510110	187236	51.57325	-0.41252
RUSLSQ	530217	182115	51.52295	-0.12442
7SSTRS	533475	188791	51.58218	-0.07496
SHADWL	534935	180991	51.51174	-0.05689
SHPBS1	523733	179919	51.50467	-0.21860
SNPBS2	523182	180033	51.50581	-0.22650
SHRDCH	533941	182190	51.52275	-0.07075
SLONSQ	528081	178669	51.49247	-0.15644
SNRSBK	540166	188828	51.58089	0.02156
SEALNG	517599	179374	51.50108	-0.30712
SHARRW	514320	186371	51.56464	-0.35207
SKNGTN	526871	178826	51.49415	-0.17381
SKENTN	517358	187051	51.57013	-0.30804
SRUSLP	511099	185441	51.55692	-0.39882
SWMBDN	525834	170022	51.41526	-0.19187
SWDFRD	540541	190046	51.59174	0.02746
SFELDS	524725	173350	51.44541	-0.20664
SGATE	529656	194270	51.63231	-0.12802
SWARK	531610	180043	51.50401	-0.10513
SJMPK1	529653	179486	51.49945	-0.13351
SJMPK2	529530	179465	51.49929	-0.13529
SJONWD	526749	183350	51.53484	-0.17394
SPAULS	532121	181246	51.51470	-0.09732
STAMBK	521866	178802	51.49504	-0.24588
STANMR	517599	192538	51.61939	-0.30272
STPGRN	535594	182161	51.52210	-0.04695
STOKWL	530454	176486	51.47231	-0.12309
SBRGPK	519650	184180	51.54384	-0.27596
STRTFD	538509	184409	51.54159	-0.00407
SDBYHL	515417	185541	51.55696	-0.33653
SDBYTN	516885	184882	51.55073	-0.31558
SRYOKS	535629	178962	51.49334	-0.04767
SWSCOT	526736	184291	51.54330	-0.17379
TEMPLE	530970	180823	51.51116	-0.11405
THDNBS	545538	199083	51.67168	0.10330
TOOTBC	528011	172395	51.43610	-0.15972
TOOTBY	527459	171425	51.42751	-0.16801
TOTMCR	529783	181398	51.51660	-0.13094
TOTMHL	534535	189500	51.58830	-0.05940
TOTWTN	526126	193957	51.63030	-0.17911
TOWRHL	533573	180741	51.50982	-0.07660
TFNLPK	529222	185842	51.55667	-0.13739
TRNMGN	521254	178802	51.49517	-0.25469
TPIKLN	531525	189650	51.59036	-0.10277
UPMNST	556137	186863	51.55904	0.25101
UPMNBR	554991	186725	51.55812	0.23443
UPNEY	545831	184275	51.53855	0.10138
UPTNPK	541193	183775	51.53523	0.03435
UXBRDG	505680	184190	51.54672	-0.47733
VAUXHL	530262	178009	51.48604	-0.12529
VCTRIA	528890	179145	51.49656	-0.14462
WSTWCT	537323	188991	51.58306	-0.01938
WANSTD	540688	188233	51.57542	0.02885
WAPPNG	535033	180166	51.50430	-0.05579
WARNST	529256	182288	51.52472	-0.13820
WWCKAV	526115	182078	51.52355	-0.18353
WRLOO1	531086	179957	51.50335	-0.11271
WRLOO2	530978	179981	51.50360	-0.11425
WATFRD	509559	196586	51.65740	-0.41754
WBLYCT	518209	185059	51.55205	-0.29643
WBLYPK	519350	186366	51.56355	-0.27954
WACTON	519382	181310	51.51811	-0.28079
WBRPTN	525401	178011	51.48715	-0.19526
WFINCH	525543	191629	51.60951	-0.18836
WSTHAM	539220	182997	51.52873	0.00561
WHPSTD	525562	184661	51.54688	-0.19058
WHARRW	514198	188027	51.57955	-0.35329
WKNSTN	524615	178393	51.49076	-0.20644
WRUSLP	508382	186804	51.56970	-0.43757
WBRNPK	524909	181762	51.52097	-0.20102
WMNSTR	530251	179720	51.50142	-0.12482
WHTCTY	523344	180730	51.51204	-0.22392
WHTCPL	534618	181844	51.51948	-0.06113
WSDNGN	523406	184874	51.54927	-0.22158
WSDNJC	521927	182983	51.53260	-0.24355
WMBLDN	524812	170685	51.42144	-0.20632
WBDNPK	525272	172134	51.43436	-0.19920
WOODGN	531025	190438	51.59756	-0.10968
WOODFD	540959	191764	51.60708	0.03418
WDSDPK	525717	192573	51.61795	-0.18551
